koi_disposition,koi_period,koi_duration,koi_depth,koi_sma,koi_incl,koi_teq,koi_dor,koi_ldm_coeff2,koi_max_mult_ev,koi_model_snr,koi_count,koi_num_transits,koi_bin_oedp_sig,koi_steff,koi_slogg,koi_smet,koi_smass,ra,koi_imag,koi_zmag,koi_fwm_stat_sig,koi_fwm_sdec,koi_dicco_msky,koi_dikco_msky
0,-0.458581646,-0.579789252,-0.332932847,-0.595450191,-3.272453903,1.951849154,-0.370426267,0.682672921,-0.278549127,-0.355756619,-0.453551324,2.244725293,0.984427989,0.269101271,-1.160627933,-2.341545158,-0.170308537,1.538392286,-0.741214969,-0.790632307,-0.523798429,-0.801189286,-0.151311066,-0.073300471
0,-0.361954357,-0.254719213,-0.333006716,-0.286730312,0.541663963,-0.064590201,-0.226671543,0.825277629,-0.280779957,-0.356975466,0.661048345,-0.746089551,-0.711946071,0.860451561,-0.500832141,0.12090081,0.488822337,0.284180499,-1.93510389,-1.983705927,-0.528058325,-12.25938708,-0.629765809,-0.623558577
1,-0.323857974,-0.518739863,-0.328175249,-0.217825656,0.538080949,-0.489218359,0.007945018,0.44193164,-0.277165176,-0.349440776,-0.453551324,-0.60441028,0.391493268,0.276357103,0.435000666,0.718923403,0.152304043,-0.774088456,0.792045818,0.837675857,3.118412164,0.939223812,-0.55103275,-0.526809899
0,-0.439056077,0.29159381,1.979024061,-0.513034818,-0.329605486,0.098728322,-0.347907175,0.101520402,0.026308459,0.229400678,-0.453551324,-0.383252395,-2.585357511,0.062310065,0.300348464,0.472678806,-0.07853082,-0.927177477,2.69054987,-11.23545686,-0.528058325,-1.350691643,2.478070285,-0.516228013
0,-0.440212533,-0.494277014,-0.326494459,-0.456965343,-1.074275124,2.683516133,-0.359176966,-1.192655655,-0.275973984,-0.329717618,-0.453551324,0.876310875,-0.711946071,-1.010343733,-4.046673473,0.718923403,5.658967036,-0.240331375,-1.453439335,-1.621680891,-0.528058325,-1.619346808,1.608069983,1.852602902
1,-0.355401382,-0.51063825,-0.325734357,-0.314765049,0.487321591,-0.57087762,-0.136991326,-0.915113159,-0.266652692,-0.286393152,-0.453551324,-0.561215381,0.036294459,-0.63062187,0.576385479,0.472678806,-0.523513688,-0.238950488,-0.563919801,-0.62088279,-0.502498952,-1.675770826,-0.571321654,-0.496575938
0,3.02097238,1.516862221,-0.323421934,3.274019105,0.494487618,-0.874650071,0.079525267,-0.588502377,-0.276069487,-0.32716912,-0.453551324,-0.740906163,0.965693874,-0.485505234,-1.483793219,-0.160521586,0.844808631,-0.721930497,-1.018191111,-1.085883836,-0.528058325,-0.456208642,0.296861731,0.295553864
1,-0.401337795,0.247279136,-0.301282618,-0.403260244,0.263383248,-0.370540232,-0.33260758,-0.484232268,-0.230594479,-0.025005903,-0.453551324,-0.421263906,-0.464281078,-0.294434997,0.565164462,1.211412596,-0.117466821,0.694293452,0.580509094,0.626896836,-0.528058325,1.889952839,-0.604026155,-0.583045069
1,-0.22333927,-0.137648033,-0.328228777,-0.10028242,0.47716972,-0.635116238,-0.148602626,0.474132703,-0.276121208,-0.343457346,0.661048345,-0.671794324,-0.650872858,-0.086434486,0.217312939,-1.215855573,-0.740442837,1.551182332,0.192438126,0.196489293,-0.493979161,0.882550402,-0.59039928,-0.560067257
0,3.690184579,-0.008223329,-0.33069108,3.732707941,0.542261132,-0.985706666,3.631217024,0.688806457,-0.279227835,-0.363734526,-0.453551324,-0.740906163,1.158655253,0.553288016,0.120812194,2.44263558,0.769717772,0.330124466,-0.198676537,-0.22506875,-0.110588572,-1.187613674,-0.296664406,-0.230517073
